question,url_m,link,url_b
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_01.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_02.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_03.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_04.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_04.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_05.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_05.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_06.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_06.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_07.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_07.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_08.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_08.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_09.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_09.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_10.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_01_10.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_01.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_01.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_02.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_02.png
Trace the individual coral species in this photo.,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_03.png,http://35.202.141.29/data/coral_orthomosaic_data/CUR_2014_Seaquarium/CUR_2014_Seaquarium_02_03.png
